tempo,lugar,setor,valor_x,QL_x,M_x,Kr,Ks,ICE,ICS,valor_y,QL_y,M_y,C,D,Co_r,Di_r,Co_s,Di_s,ICDC,ICUC
2022,14,1156,981302.96,1.0189852683533853,1,101,10,-0.8005991309600616,-1.664551931192211,2658547.75,0.15978924488687365,0,0,1,29,42,5,5,-0.18309859154929578,0.0
2022,15,1156,6693136.97,0.5394272769509034,0,127,10,-0.865805404840025,-1.664551931192211,195328153.5,0.9773426461968266,0,0,0,65,42,5,5,0.21495327102803738,0.0
2022,16,1156,109425.79000000001,0.059264074003438465,0,49,10,-0.9343578161064335,-1.664551931192211,7226991.26,0.2716704510940267,0,0,0,17,21,5,5,-0.10526315789473684,0.0
2022,17,1156,15041822.44,4.625009633620982,1,87,10,-1.1406666261376524,-1.664551931192211,284716975.06,4.396189570006331,1,1,0,36,31,5,5,0.07462686567164178,0.0
2022,21,1156,21511672.68,2.800937861281675,1,98,10,-0.9747683997394654,-1.664551931192211,230774809.74,1.9833320327106285,1,1,0,41,40,5,5,0.012345679012345678,0.0
2022,22,1156,17377110.19,4.2677214770252485,1,92,10,-0.9543835776222616,-1.664551931192211,808117150.2099999,8.317334881450147,1,1,0,36,34,5,5,0.02857142857142857,0.0
2022,29,1156,30062642.41,1.3919032846685688,1,185,10,-0.414412851921629,-1.664551931192211,411099780.9,0.9844521810305508,0,0,1,92,70,5,5,0.13580246913580246,0.0
2022,31,1156,28512002.69,0.5853361304710216,0,245,10,0.4027053862241134,-1.664551931192211,110521984.53,0.09454962194970606,0,0,0,156,78,5,5,0.3333333333333333,0.0
2022,33,1156,16162.67,0.0003240390105769749,0,189,10,1.5017861398696477,-1.664551931192211,210053507.98000002,0.13000276701661106,0,0,0,63,106,5,5,-0.25443786982248523,0.0
2022,35,1156,16316170.49,0.09251459708455725,0,398,10,2.527654633380877,-1.664551931192211,739851849.64,0.16662018700849457,0,0,0,294,99,5,5,0.4961832061068702,0.0
2022,41,1156,40041883.66,1.15340211139843,1,283,10,1.360404121589458,-1.664551931192211,310877280.49,0.29946469683485855,0,0,1,159,104,5,5,0.20912547528517111,0.0
2022,42,1156,2842336.45,0.10537663566485388,0,268,10,1.6137367799271582,-1.664551931192211,55581674.12,0.06362809247002564,0,0,0,170,86,5,5,0.328125,0.0
2022,43,1156,31751570.67,0.9664354461058424,0,248,10,1.4063703732174837,-1.664551931192211,236438190.58,0.27287353947298065,0,0,0,178,59,5,5,0.5021097046413502,0.0
2022,50,1156,26577347.21,3.473088770027205,1,132,10,-0.5597758561905196,-1.664551931192211,140843883.71,0.8654070803714882,0,0,1,74,35,5,5,0.3577981651376147,0.0
2022,51,1156,239593059.81,22.815285585253786,1,112,10,-0.8213564437208803,-1.664551931192211,8792978389.74,21.85180528432667,1,1,0,57,48,5,5,0.08571428571428572,0.0
2022,52,1156,64152425.230000004,3.9768266686634575,1,197,10,-0.1672898435729361,-1.664551931192211,524398414.5,1.2888225148453618,1,1,0,134,47,5,5,0.48066298342541436,0.0
2022,53,1156,1844384.29,0.07982857781757698,0,61,10,0.8043240000436759,-1.664551931192211,395632913.73,1.0701314578480436,1,0,0,28,21,5,5,0.14285714285714285,0.0
2022,35,1164,5398798.19,1.312472849319088,1,398,5,2.527654633380877,-0.8754926783466052,11950596.16,1.7001734766824939,1,1,0,294,99,2,0,0.4961832061068702,1.0
2022,41,1164,742715.21,0.9172543243311592,0,283,5,1.360404121589458,-0.8754926783466052,2849302.79,1.7338681274637426,1,0,0,159,104,2,0,0.20912547528517111,1.0
2022,43,1164,263860.38,0.34433647368292997,0,248,5,1.4063703732174837,-0.8754926783466052,4582174.76,3.340690623779818,1,0,0,178,59,2,0,0.5021097046413502,1.0
2022,51,1164,1277137.01,5.214232272433131,1,112,5,-0.8213564437208803,-0.8754926783466052,1954817.06,3.068868284726891,1,1,0,57,48,2,0,0.08571428571428572,1.0
2022,15,1199,391885.72000000003,0.1618987625346895,0,127,7,-0.865805404840025,-0.965309036437697,825429.25,0.1435377074104127,0,0,0,65,42,5,2,0.21495327102803738,0.42857142857142855
2022,21,1199,127661.88,0.08520624543622346,0,98,7,-0.9747683997394654,-0.965309036437697,293990.32999999996,0.08781004833604496,0,0,0,41,40,5,2,0.012345679012345678,0.42857142857142855
2022,23,1199,6053752.14,2.253372468187911,1,145,7,0.19656801220447823,-0.965309036437697,224404414.53,29.361476248848415,1,1,0,74,52,5,2,0.1746031746031746,0.42857142857142855
2022,24,1199,11233509.86,10.045680744556229,1,119,7,-0.42417850125818135,-0.965309036437697,50000.88,149.98633023978354,1,1,0,66,45,5,2,0.1891891891891892,0.42857142857142855
2022,24,1199,11233509.86,10.045680744556229,1,119,7,-0.42417850125818135,-0.965309036437697,33551149.869999997,12.975117154300735,1,1,0,66,45,5,2,0.1891891891891892,0.42857142857142855
2022,26,1199,857145.16,0.2894697992693355,0,178,7,0.20141770687139868,-0.965309036437697,1017116.99,0.14679802402702075,0,0,0,87,65,5,2,0.14473684210526316,0.42857142857142855
2022,29,1199,15121608.34,3.588895344079895,1,185,7,-0.414412851921629,-0.965309036437697,4446692.06,0.3700740057160729,0,0,1,92,70,5,2,0.13580246913580246,0.42857142857142855
2022,31,1199,23855494.88,2.510423197096642,1,245,7,0.4027053862241134,-0.965309036437697,45691453.84,1.3584706035472862,1,1,0,156,78,5,2,0.3333333333333333,0.42857142857142855
2022,35,1199,20410581.12,0.59323709149997,0,398,7,2.527654633380877,-0.965309036437697,28087917.29,0.21983990978102855,0,0,0,294,99,5,2,0.4961832061068702,0.42857142857142855
2022,41,1199,9826243.63,1.4508906112070576,1,283,7,1.360404121589458,-0.965309036437697,47133768.67,1.5779489892379257,1,1,0,159,104,5,2,0.20912547528517111,0.42857142857142855
2022,42,1199,2996072.4,0.5693797904426673,0,268,7,1.6137367799271582,-0.965309036437697,40661.51,0.0016177258615437402,0,0,0,170,86,5,2,0.328125,0.42857142857142855
2022,43,1199,4526787.51,0.7062828252516193,0,248,7,1.4063703732174837,-0.965309036437697,365945.65,0.014677920531259738,0,0,0,178,59,5,2,0.5021097046413502,0.42857142857142855
2022,50,1199,701061.87,0.46961450291449996,0,132,7,-0.5597758561905196,-0.965309036437697,1639997.99,0.3502111053765351,0,0,0,74,35,5,2,0.3577981651376147,0.42857142857142855
2022,51,1199,261550.16,0.12766961993016854,0,112,7,-0.8213564437208803,-0.965309036437697,136950.88,0.01182824439318026,0,0,0,57,48,5,2,0.08571428571428572,0.42857142857142855
2022,52,1199,6271164.93,1.9927494875706109,1,197,7,-0.1672898435729361,-0.965309036437697,200226.57,0.017102421194222197,0,0,1,134,47,5,2,0.48066298342541436,0.42857142857142855
2022,11,1211,178433.46,0.3903090053553196,0,120,3,-0.6938859163710657,0.295982825462773,65456.21000000001,0.09655896521961585,0,0,0,66,34,3,0,0.32,1.0
